st_iger,Peter,Nace,Blaž,Gašper,Jernej,Ostali,Peter_games,Nace_games,Blaž_games,Gašper_games,Jernej_games,Ostali_games
40,1372.0,1035.0,647.0,997.0,0.0,0.0,40.0,40.0,40.0,40.0,0.0,0.0
21,1892.0,1035.0,920.0,1528.0,413.0,0.0,61.0,40.0,61.0,61.0,21.0,0.0
12,2020.0,1035.0,935.0,1673.0,501.0,0.0,73.0,40.0,73.0,73.0,33.0,0.0
20,2411.0,1280.0,935.0,1955.0,498.0,0.0,93.0,60.0,73.0,93.0,53.0,0.0
20,2984.0,1280.0,1349.0,2332.0,1269.0,0.0,113.0,60.0,93.0,113.0,73.0,0.0
27,3643.0,1808.0,1349.0,3098.0,1911.0,0.0,140.0,87.0,93.0,140.0,100.0,0.0
40,3643.0,2781.0,436.0,3616.0,3294.0,0.0,140.0,127.0,133.0,180.0,140.0,0.0
16,3711.0,2632.0,931.0,3616.0,3291.0,0.0,156.0,143.0,149.0,180.0,156.0,0.0
23,4208.0,3492.0,931.0,4439.0,3291.0,488.0,179.0,166.0,149.0,203.0,156.0,23.0
14,4214.0,3682.0,931.0,4395.0,3784.0,488.0,193.0,180.0,149.0,217.0,170.0,23.0
31,4549.0,4205.0,931.0,4975.0,3784.0,1008.0,224.0,211.0,149.0,248.0,170.0,54.0
10,4621.0,4309.0,1122.0,4975.0,3997.0,1008.0,234.0,221.0,159.0,248.0,180.0,54.0
30,5037.0,4433.0,1538.0,4975.0,4055.0,1008.0,264.0,251.0,189.0,248.0,210.0,54.0
35,5207.0,5397.0,1538.0,5624.0,4264.0,1008.0,299.0,286.0,189.0,283.0,245.0,54.0
36,5207.0,5992.0,2076.0,6351.0,4928.0,1008.0,299.0,322.0,225.0,319.0,281.0,54.0
19,5542.0,6075.0,2076.0,6351.0,5719.0,1583.0,318.0,341.0,225.0,319.0,300.0,73.0
32,5542.0,6580.0,2864.0,7110.0,6326.0,1583.0,318.0,373.0,257.0,351.0,332.0,73.0
12,6069.0,7122.0,3046.0,7110.0,6420.0,1583.0,330.0,385.0,269.0,351.0,344.0,73.0
44,7363.0,7122.0,4192.0,7988.0,7461.0,1583.0,374.0,385.0,313.0,395.0,388.0,73.0
43,8392.0,7801.0,4192.0,8446.0,8279.0,1583.0,417.0,428.0,313.0,438.0,431.0,73.0
19,8321.0,8466.0,4192.0,8560.0,8688.0,1583.0,436.0,447.0,313.0,457.0,450.0,73.0
24,8455.0,9035.0,5159.0,8560.0,9410.0,1583.0,460.0,471.0,337.0,457.0,474.0,73.0
43,9088.0,9035.0,5159.0,9243.0,10846.0,2283.0,503.0,471.0,337.0,500.0,517.0,116.0
42,10045.0,9742.0,5159.0,10167.0,11131.0,2283.0,545.0,513.0,337.0,542.0,559.0,116.0
43,11426.0,10744.0,6539.0,10167.0,12666.0,2283.0,588.0,556.0,380.0,542.0,602.0,116.0
43,12689.0,10744.0,7182.0,11078.0,14026.0,2283.0,631.0,556.0,423.0,585.0,645.0,116.0
43,12689.0,12195.0,8604.0,11850.0,14823.0,2283.0,631.0,599.0,466.0,628.0,688.0,116.0
44,12689.0,12091.0,9515.0,13176.0,15718.0,2283.0,631.0,643.0,510.0,672.0,732.0,116.0
20,12689.0,12091.0,9915.0,13776.0,16018.0,2283.0,651.0,643.0,530.0,692.0,752.0,116.0
27,12689.0,12875.0,10248.0,14411.0,16018.0,1988.0,651.0,670.0,557.0,719.0,752.0,143.0
23,13323.0,13350.0,10248.0,14411.0,16392.0,2215.0,674.0,693.0,557.0,719.0,775.0,166.0
44,14158.0,13990.0,10248.0,15146.0,15813.0,2215.0,718.0,737.0,557.0,763.0,819.0,166.0
42,14158.0,14624.0,10248.0,15561.0,16519.0,3239.0,718.0,779.0,557.0,805.0,861.0,208.0
44,15818.0,14624.0,10248.0,16406.0,17429.0,3670.0,762.0,779.0,557.0,849.0,905.0,252.0
44,16919.0,15357.0,10745.0,16406.0,18502.0,3670.0,806.0,823.0,601.0,849.0,949.0,252.0
42,16919.0,16302.0,11448.0,16406.0,18955.0,3751.0,806.0,865.0,643.0,849.0,991.0,294.0
42,17890.0,16302.0,12228.0,16406.0,19636.0,3931.0,848.0,865.0,685.0,849.0,1033.0,336.0
42,18431.0,16302.0,12510.0,16406.0,20264.0,4126.0,890.0,865.0,727.0,849.0,1075.0,378.0
42,19108.0,17165.0,12510.0,11870.0,20788.0,4126.0,932.0,907.0,727.0,891.0,1117.0,378.0
28,19108.0,18131.0,12766.0,12794.0,21758.0,4126.0,932.0,935.0,755.0,919.0,1145.0,378.0
14,19353.0,17893.0,12711.0,12794.0,21937.0,4126.0,946.0,949.0,769.0,919.0,1159.0,378.0
12,19353.0,17999.0,12935.0,13233.0,21929.0,4126.0,946.0,961.0,781.0,931.0,1171.0,378.0
31,20108.0,18297.0,13081.0,13233.0,22605.0,4126.0,977.0,992.0,812.0,931.0,1202.0,378.0
17,20108.0,18199.0,13092.0,11852.0,20866.0,4126.0,977.0,1009.0,829.0,948.0,1219.0,378.0
31,21075.0,18199.0,12741.0,12337.0,21752.0,4126.0,1008.0,1009.0,860.0,979.0,1250.0,378.0
43,22233.0,18199.0,12741.0,12138.0,22519.0,4228.0,1051.0,1009.0,860.0,1022.0,1293.0,421.0
40,22233.0,18701.0,13212.0,12458.0,23182.0,4228.0,1051.0,1049.0,900.0,1062.0,1333.0,421.0
16,22265.0,18991.0,12994.0,12458.0,23182.0,4556.0,1067.0,1065.0,916.0,1062.0,1333.0,437.0
41,22789.0,18991.0,11709.0,13303.0,23182.0,4510.0,1108.0,1065.0,957.0,1103.0,1333.0,478.0
28,23629.0,19181.0,12253.0,14375.0,23182.0,4510.0,1136.0,1093.0,985.0,1131.0,1333.0,478.0
15,24312.0,19181.0,12253.0,14360.0,24095.0,4562.0,1151.0,1093.0,985.0,1146.0,1348.0,493.0
